ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized
M00134,김치국물,어패류,해조류,1796,False,False,False,,,김치국물,완1,
M00184,봄동,기타,기타,946,False,False,False,,,봄동,완1,
M00264,미원,기타,기타,569,True,False,True,,,미원,완1,
M00434,다시물,기타,물·음료,269,False,False,False,,,다시물,완1,
M00574,토마토소스,채소류,열매채소,176,False,True,True,채소류,,토마토소스,완1,
M00594,코코넛가루,곡류·면,밀가루·전분,161,False,False,False,,,코코넛가루,완1,
M00604,샐러드야채,기타,기타,157,False,False,False,,,샐러드야채,완1,
M00654,다시마물,,,138,False,False,False,,,다시마물,완1,
M00744,열무김치국물,어패류,해조류,113,False,True,True,채소류,,열무김치국물,완1,
M00814,디종머스터드,기타,기타,95,False,False,False,,,디종머스터드,완1,
M00844,크레미,기타,기타,88,False,False,False,,,크레미,완1,
M00864,고추장,,,86,False,False,False,,,고추장,완1,
M00904,끓는물,기타,물·음료,79,False,False,False,,,끓는물,완1,
M00914,파슬리가루,곡류·면,밀가루·전분,77,False,False,False,,,파슬리가루,완1,
M00944,에리스리,기타,기타,74,False,False,False,,,에리스리,완1,
M00954,플레인요플레,기타,기타,73,False,False,False,,,플레인요플레,완1,
M00974,다시마우린물,,,70,False,False,False,,,다시마우린물,완1,
M00994,과메기,기타,기타,67,False,False,False,,,과메기,완1,
M01014,백설요리유,양념·기름,기름,66,False,False,False,,,요리유,완1,
M01024,양파즙,,,64,False,True,True,,,양파즙,완1,
M01034,올리고당,양념·기름,당류,63,False,False,False,,,올리고당,완1,
M01044,허브소금,,,62,False,False,False,,,허브소금,완1,
M01054,매운건고추,채소류,열매채소,61,False,True,True,채소류,,매운건고추,완1,
M01074,스테이크소스,,,59,False,False,False,,,스테이크소스,완1,
M01204,천연가루,곡류·면,밀가루·전분,49,False,False,False,,,천연가루,완1,
M01244,고추청,채소류,열매채소,46,False,False,False,,,고추청,완1,
M01334,조미료,기타,기타,41,False,False,False,,,조미료,완1,
M01364,단호박,채소류,열매채소,40,False,True,True,채소류,,단호박,완1,
M01384,단단한두부,가공식품,두부·묵,39,False,False,False,,,단단한두부,완1,
M01394,매운고추가루,,,38,False,False,False,,,매운고추가루,완1,
M01404,민들레,기타,기타,38,False,False,False,,,민들레,완1,
M01444,매운굴소스,기타,기타,36,False,False,False,,,매운굴소스,완1,
M01484,동치미국물,기타,물·음료,35,False,False,False,,,동치미국물,완1,
M01494,간사과,과일·견과,과일,34,False,True,True,과일류,,간사과,완1,
M01524,김치잎,어패류,해조류,33,False,False,False,,,김치잎,완1,
M01554,매운칠리고추,채소류,열매채소,32,False,False,False,,,매운칠리고추,완1,
M01564,아로니아가루,곡류·면,밀가루·전분,32,False,False,False,,,아로니아가루,완1,
M01604,귀리,기타,기타,31,False,True,True,식량작물,,귀리,완1,
M01614,밥물,기타,물·음료,31,False,False,False,,,밥물,완1,
M01624,김치,어패류,해조류,31,False,False,False,,,김치,완1,
M01664,청크초콜릿,양념·기름,식초·발효,30,False,False,False,,,청크초콜릿,완1,
M01674,버섯,채소류,버섯,30,False,False,False,,,버섯,완1,
M01694,가와지1호쌀,곡류·면,쌀,29,False,False,False,,,가와지1호쌀,완1,
M01704,포도즙,과일·견과,과일,29,False,True,True,과일류,,포도즙,완1,
M01714,삼계탕용닭,육류·계란,닭고기,29,False,False,False,,,삼계탕용닭,완1,
M01724,나물,채소류,잎채소,29,False,False,False,,,나물,완1,
M01784,저염맛간,,,27,False,False,False,,,저염맛간,완1,
M01794,둥지물냉면,곡류·면,면류,27,False,False,False,,,둥지물냉면,완1,
M01864,아몬드우유,과일·견과,견과·씨앗,26,False,True,True,특용작물,,아몬드우유,완1,
M01884,아오리사과,과일·견과,과일,26,False,True,True,과일류,,아오리사과,완1,
M01924,토마토,채소류,열매채소,24,False,True,True,채소류,,토마토,완1,
M01934,산야초효소,기타,기타,24,False,False,False,,,산야초효소,완1,
M01944,고수,기타,기타,24,False,False,False,,,고수,완1,
M01954,생강소스,기타,기타,24,False,True,True,채소류,,생강소스,완1,
M01964,버섯류,채소류,버섯,24,False,False,False,,,버섯류,완1,
M01984,저염된,기타,기타,23,False,False,False,,,저염된,완1,
M02004,울금가루,곡류·면,밀가루·전분,23,False,False,False,,,울금가루,완1,
M02014,현미찰밥,기타,기타,23,False,False,False,식량작물,,현미찰밥,완1,
M02094,옥수수콘통조림,기타,기타,21,False,True,True,식량작물,,옥수수콘통조림,완1,
M02114,맛송이버섯,채소류,버섯,21,False,False,False,,,맛송이버섯,완1,
M02134,스위트린,기타,기타,21,False,False,False,,,스위트린,완1,
M02174,다진신김치,어패류,해조류,20,False,False,False,,,다진신김치,완1,
M02194,표고소금,,,20,False,False,False,,,표고소금,완1,
M02214,마늘,,,20,False,False,False,,,마늘,완1,
M02254,버터밀크,유제품,버터,19,False,False,False,,,버터밀크,완1,
M02294,푸실리파스타,채소류,양념채소,19,False,False,False,,,푸실리파스타,완1,
M02314,무가당코코아,양념·기름,당류,18,False,False,False,,,무가당코코아,완1,
M02324,국내산광어,기타,기타,18,False,False,False,,,국내산광어,완1,
M02364,맛술,기타,기타,18,False,False,False,,,맛술,완1,
M02394,양파,,,18,False,True,True,,,양파,완1,
M02404,물메기,기타,물·음료,17,False,False,False,,,물메기,완1,
M02434,우거지,기타,기타,17,False,False,False,,,우거지,완1,
M02474,과일즙,기타,기타,17,False,False,False,,,과일즙,완1,
M02484,메밀소바장국,기타,기타,17,False,True,True,식량작물,,메밀소바장국,완1,
M02514,다진청피망,양념·기름,식초·발효,16,False,True,True,채소류,,다진청피망,완1,
M02524,갈비,기타,기타,16,False,False,False,축산물,,갈비,완1,
M02554,백종원만능간,,,16,False,False,False,,,백종원만능간,완1,
M02574,샐러드,기타,기타,16,False,False,False,,,샐러드,완1,
M02594,현미가래떡,곡류·면,떡,16,False,False,False,식량작물,,현미가래떡,완1,
M02604,돼지고기안심,,,16,False,True,True,,,돼지고기안심,완1,
M02614,소고기육수,,,16,False,False,False,,,소고기육수,완1,
M02634,버섯야채육수,,,15,False,False,False,,,버섯야채육수,완1,
M02644,스틱버터,유제품,버터,15,False,False,False,,,스틱버터,완1,
M02664,연두에센스,기타,기타,15,False,False,False,,,연두에센스,완1,
M02714,두부마요네즈,양념·기름,기타양념,15,False,False,False,,,두부마요네즈,완1,
M02734,참다래,기타,기타,14,False,True,True,과일류,,참다래,완1,
M02754,쿠키반죽생지,기타,기타,14,False,False,False,,,쿠키반죽생지,완1,
M02774,사과조림,과일·견과,과일,14,False,True,True,과일류,,사과조림,완1,
M02804,사과,과일·견과,과일,14,False,True,True,과일류,,사과,완1,
M02854,파인애플쥬스,채소류,양념채소,14,False,True,True,과일류,,파인애플쥬스,완1,
M02864,바질,기타,기타,14,False,False,False,,,바질,완1,
M02884,오리고기훈제,,,14,False,False,False,,,오리고기훈제,완1,
M02894,미나리,기타,기타,13,False,True,True,채소류,,미나리,완1,
M02904,크러시드레드페퍼,기타,기타,13,False,False,False,,,크러시드레드페퍼,완1,
M02914,올리브잎,,,13,False,False,False,,,올리브잎,완1,
M02924,오코노미야키소스,기타,기타,13,False,False,False,,,오코노미야키소스,완1,
M02984,어린새싹,기타,기타,13,False,False,False,,,어린새싹,완1,
M02994,아이비크래커,기타,기타,13,False,False,False,,,아이비크래커,완1,
M03044,생홍합,기타,기타,12,False,True,True,수산물,,생홍합,완1,
M03074,페페론치니,기타,기타,12,False,False,False,,,페페론치니,완1,
M03114,브랜디,기타,기타,12,False,False,False,,,브랜디,완1,
M03144,검은콩콩국물,기타,물·음료,12,False,False,False,,,검은콩콩국물,완1,
M03154,표고버섯우린물,,,12,False,True,True,,,표고버섯우린물,완1,
M03164,어니언파우더,채소류,양념채소,12,False,False,False,,,어니언파우더,완1,
M03184,불가리스,기타,기타,12,True,False,True,,,불가리스,완1,
M03204,다이제쿠키,기타,기타,12,False,False,False,,,다이제쿠키,완1,
M03274,또띠아,기타,기타,11,False,False,False,,,또띠아,완1,
M03284,캔토마토,채소류,열매채소,11,False,True,True,채소류,,캔토마토,완1,
M03324,목이버섯,채소류,버섯,11,False,False,False,,,목이버섯,완1,
M03354,김치한,어패류,해조류,11,False,False,False,,,김치한,완1,
M03374,현미,기타,기타,11,False,False,False,식량작물,,현미,완1,
M03384,홍합삶은물,기타,물·음료,11,False,True,True,수산물,,홍합삶은물,완1,
M03394,밤꿀,기타,기타,11,False,False,False,,,밤꿀,완1,
M03414,코팅다크초콜릿,기타,기타,11,False,False,False,,,코팅다크초콜릿,완1,
M03434,라이스페이퍼여러,기타,기타,11,False,False,False,,,라이스페이퍼여러,완1,
M03444,돼지고기,,,10,False,True,True,,,돼지고기,완1,
M03454,수미칩,기타,기타,10,False,False,False,,,수미칩,완1,
M03464,검은콩,기타,기타,10,False,False,False,,,검은콩,완1,
M03484,소바장국,기타,기타,10,False,False,False,,,소바장국,완1,
M03514,시나몬가루,곡류·면,밀가루·전분,10,False,False,False,,,시나몬가루,완1,
M03524,꽃등심,기타,기타,10,False,False,False,축산물,,꽃등심,완1,
M03544,연두청양초,,,10,False,False,False,,,연두청양초,완1,
M03574,피스타치오분태,기타,기타,10,False,False,False,,,피스타치오분태,완1,
M03604,다진마늘,,,10,False,False,False,,,다진마늘,완1,
M03634,딸기크런치,기타,기타,10,False,True,True,채소류,,딸기크런치,완1,
M03664,분말짜,기타,기타,10,False,False,False,,,분말짜,완1,
M03734,비트,기타,기타,10,False,False,False,,,비트,완1,
M03744,핫케익믹스,기타,기타,10,False,False,False,,,핫케익믹스,완1,
M03784,떡볶이떡,곡류·면,떡,9,False,False,False,,,떡볶이떡,완1,
M03794,다시다,양념·기름,액젓·국물조미료,9,False,False,False,,,다시다,완1,
M03814,코코아파우더,채소류,양념채소,9,False,False,False,,,코코아파우더,완1,
M03824,크러쉬드레드페퍼,기타,기타,9,False,False,False,,,크러쉬드레드페퍼,완1,
M03834,호박,채소류,열매채소,9,False,True,True,채소류,,호박,완1,
M03844,건조매생이블럭,기타,기타,9,False,False,False,,,건조매생이블럭,완1,
M03874,사골육수,양념·기름,액젓·국물조미료,9,False,False,False,,,사골육수,완1,
M03884,커스타드크림,유제품,우유·크림,9,False,False,False,,,커스타드크림,완1,
M03904,가지나물,채소류,잎채소,9,False,True,True,채소류,,가지나물,완1,
M03914,파뿌리,채소류,양념채소,9,False,False,False,,,파뿌리,완1,
M03934,유러피언채소,양념·기름,기름,9,False,False,False,,,유러피언채소,완1,
M03944,미림,양념·기름,식초·발효,9,False,False,False,,,미림,완1,
M03974,우유,유제품,우유·크림,9,False,True,True,축산물,,우유,완1,
M03984,견과류분태,기타,기타,9,False,False,False,,,견과류분태,완1,
M03994,현미라이스페이퍼,기타,기타,9,False,False,False,식량작물,,현미라이스페이퍼,완1,
M04004,돈까스용등심,기타,기타,9,False,False,False,축산물,,등심,완1,
M04024,까니리액젓,양념·기름,액젓·국물조미료,9,False,False,False,,,까니리액젓,완1,
M04034,곤드레나물,채소류,잎채소,9,False,False,False,,,곤드레나물,완1,
M04084,검은콩서리태,기타,기타,8,False,False,False,,,검은콩서리태,완1,
M04094,도토리묵,가공식품,두부·묵,8,False,False,False,,,도토리묵,완1,
M04104,돼지갈비,,,8,False,True,True,,,돼지갈비,완1,
M04114,홍영의대게백간,기타,기타,8,False,False,False,,,홍영의대게백간,완1,
