ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,상품명,가격,단위,단위_수치,단위_문자,score,url
M00002,소금,양념·기름,가루양념,112185,TRUE,FALSE,TRUE,,,"소금나라 꽃소금 3kg (고운,재제염)",3010,3kg,3,kg,3.45,https://www.foodspring.co.kr/goods/detail/366826
M00012,고추,채소류,열매채소,39053,TRUE,FALSE,TRUE,채소류,,청양고추/상 국내산 500g,1656,500g,500,g,2.5,https://www.foodspring.co.kr/goods/detail/564364
M00022,밀가루,곡류·면,밀가루·전분,19594,TRUE,FALSE,TRUE,,,밀가루(곰표/중력),2640,2.5kg,2.5,kg,6.5,https://www.foodspring.co.kr/goods/detail/517714
M00032,국간장,양념·기름,장류,15319,FALSE,FALSE,FALSE,,,부천 몽고국간장 0.9L,2112,0.9L,0.9,L,4.5,https://www.foodspring.co.kr/goods/detail/589144
M00042,애호박,채소류,열매채소,9716,TRUE,TRUE,TRUE,채소류,,"애호박(인큐),250g,특품,국산",848,250g,250,g,3.5,https://www.foodspring.co.kr/goods/detail/636378
M00052,당근,채소류,뿌리채소,6909,TRUE,TRUE,TRUE,채소류,,"당근(세척, 1kg) 수입산",1304,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/718614
M00062,고구마,채소류,뿌리채소,5539,TRUE,TRUE,TRUE,식량작물,,고구마 가루 500G 뚜레반,2816,500G,500,G,3.5,https://www.foodspring.co.kr/goods/detail/529855
M00072,양조간,양념·기름,장류,4434,TRUE,FALSE,TRUE,,,양조간장(사조/순알콩/1.8L)EA,6504,1.8L,1.8,L,5.5,https://www.foodspring.co.kr/goods/detail/967609
M00082,숙주,채소류,잎채소,3680,FALSE,FALSE,FALSE,,,숙주나물(250g/EA),570,250g,250,g,3.5,https://www.foodspring.co.kr/goods/detail/501469
M00092,브로콜리,채소류,열매채소,3217,FALSE,TRUE,TRUE,채소류,,브로콜리(약3~400g/중국산) 1개,1520,400g,400,g,3.5,https://www.foodspring.co.kr/goods/detail/716274
