ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized,상품명,가격,단위,단위_수치,단위_문자,score,url
M00574,토마토소스,채소류,열매채소,176,False,True,True,채소류,,토마토소스,완1,,토마토소스(바로푸드),8360,2kg,2.0,kg,3.5,https://www.foodspring.co.kr/goods/detail/943522
M01036,도라지나물,채소류,잎채소,63,False,False,False,,,도라지나물,완2,,★초특가★ 깐도라지채 (진공 1Kg/EA) 도라지 깐 도라지 나물 특가 채도라지,3660,1Kg,1.0,Kg,0.3,https://www.foodspring.co.kr/goods/detail/794570
M01061,분말육수,양념·기름,액젓·국물조미료,61,False,False,False,,,분말육수,완4,,크노르 치킨스탁 치킨스톡 (분말) 1kg 닭육수 국물조미료 치킨파우더,10000,1kg,1.0,kg,1.6,https://www.foodspring.co.kr/goods/detail/459517
M01302,다진피망,기타,기타,43,False,True,True,채소류,,다진피망,완5,다진피망,홍피망(1cm 다이스 1kg) 업소용 다진 냉동 피망,5120,1kg,1.0,kg,1.05,https://www.foodspring.co.kr/goods/detail/455992
M01334,조미료,기타,기타,41,False,False,False,,,조미료,완1,,아지노모도 조미료(500g/EA),3435,500g,500.0,g,1.5,https://www.foodspring.co.kr/goods/detail/634939
M01461,요리초,기타,기타,35,False,False,False,,,요리초,완4,,까페리나 케이퍼 서파인즈 965g 연어요리 스테이크 초절임,6800,965g,965.0,g,0.9,https://www.foodspring.co.kr/goods/detail/819058
M01557,무나물,채소류,잎채소,32,False,False,False,,,무나물,완3,무나물,열무(상품/나물용/국산)1kg,6840,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/781289
M01666,올리고당백설,양념·기름,당류,30,False,False,False,,,올리고당백설,완2,,올리고당(백설/프락토)1.2kg,4368,1.2kg,1.2,kg,3.5,https://www.foodspring.co.kr/goods/detail/845284
M01725,간무,기타,기타,29,False,False,False,,,간무,완7,간무,까스탱 푸아그라 거위간무스 320g (상온),50895,320g,320.0,g,1.3,https://www.foodspring.co.kr/goods/detail/677224
M01858,찹쌀죽,곡류·면,쌀,26,False,True,True,식량작물,,찹쌀죽,완8,,아주존 찹쌀 가루 1kg X8 팥죽 새알심 경단 반죽 식당 업소용,55904,1kg,1.0,kg,0.7,https://www.foodspring.co.kr/goods/detail/718861
M01972,김치묵은지,어패류,해조류,24,False,False,False,,,김치묵은지,완5,김치묵은지,청우 포기김치(숙성/묵은지_중국산) 10kg,14240,10kg,10.0,kg,1.3,https://www.foodspring.co.kr/goods/detail/842018
M02025,요리당올리고당,양념·기름,당류,23,False,False,False,,,요리당올리고당,완7,요리당올리고당,요리당(백설 2.45kg) 제일제당 올리고당,7024,2.45kg,2.45,kg,3.3,https://www.foodspring.co.kr/goods/detail/458107
M02046,판초콜릿,기타,기타,22,False,False,False,,,판초콜릿,완2,,벨코라도 다크 판 초콜릿 2.5kg,68560,2.5kg,2.5,kg,1.5,https://www.foodspring.co.kr/goods/detail/749793
M02177,흑미가루,곡류·면,밀가루·전분,20,False,False,False,,,흑미가루,완3,흑미가루,햇쌀마루 칠복 흑미쌀가루 500g,4640,500g,500.0,g,1.5,https://www.foodspring.co.kr/goods/detail/784749
M02314,무가당코코아,양념·기름,당류,18,False,False,False,,,무가당코코아,완1,,꼬미다 무가당 코코아파우더 350g (상온),7200,350g,350.0,g,3.3,https://www.foodspring.co.kr/goods/detail/677458
M02480,웰치포도주스,과일·견과,과일,17,False,True,True,과일류,,웰치포도주스,완10,,웰치포도 페트병 1.5L x 12개 업소용 포도주스,28360,1.5L,1.5,L,1.1,https://www.foodspring.co.kr/goods/detail/894356
M02559,허니파우더,채소류,양념채소,16,False,False,False,,,허니파우더,완9,,아리조나 골드 허니 파우더 454g,9760,454g,454.0,g,1.5,https://www.foodspring.co.kr/goods/detail/788606
M02738,닭삼계탕용,육류·계란,닭고기,14,False,False,False,,,닭삼계탕용,완8,,오뚜기 누룽지닭다리 삼계탕500g 누룽지닭다리삼계탕 삼계탕 보양식 닭다리삼계탕 즉석삼계탕 간편식 식당용 업소용 급식메뉴 오뚜기삼계탕,13112,500g,500.0,g,0.85,https://www.foodspring.co.kr/goods/detail/890655
M02833,토마토마리네이드,채소류,열매채소,14,False,True,True,채소류,,토마토마리네이드,완6,,허니 방울토마토 마리네이드 1kg,14696,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/772813
M03058,샌드위치용빵,곡류·면,빵·곡식가공,12,False,False,False,,,샌드위치용빵,완8,,식빵 (토스트大/샌드위치용) 750g 샌드위치식빵 토스트식빵,2864,750g,750.0,g,0.85,https://www.foodspring.co.kr/goods/detail/563699
M03201,컬리플라워라이스,기타,기타,12,False,False,False,,,컬리플라워라이스,완4,,아르도 비건 냉동야채 컬리플라워 라이스 450g,4280,450g,450.0,g,1.2,https://www.foodspring.co.kr/goods/detail/893684
M03222,크림스프분말,유제품,우유·크림,12,False,False,False,,,크림스프분말,완5,크림스프분말,크림스프(한국에스비/분말/골드스푼)1kg,5168,1kg,1.0,kg,2.4,https://www.foodspring.co.kr/goods/detail/966994
M03464,검은콩,기타,기타,10,False,False,False,,,검은콩,완1,,검은콩두유 1L/연세두유,2000,1L,1.0,L,3.5,https://www.foodspring.co.kr/goods/detail/975298
M03744,핫케익믹스,기타,기타,10,False,False,False,,,핫케익믹스,완1,,핫케익믹스 300g 모리나가,2712,300g,300.0,g,3.5,https://www.foodspring.co.kr/goods/detail/860694
M03916,튀김용오일,어패류,해조류,9,False,False,False,,,튀김용오일,완2,,[신규] 시타 포마스 올리브오일 포마스유 5L 이탈리아산 튀김 요리용 오일,25200,5L,5.0,L,0.45,https://www.foodspring.co.kr/goods/detail/968651
M03991,레몬오일,기타,기타,9,False,True,True,,,레몬오일,완4,,까사리날디 레몬 엑스트라 버진 올리브 오일 250ml,8160,250ml,250.0,ml,1.05,https://www.foodspring.co.kr/goods/detail/886016
M04094,도토리묵,가공식품,두부·묵,8,False,False,False,,,도토리묵,완1,,도토리묵/중국산 400g,720,400g,400.0,g,5.5,https://www.foodspring.co.kr/goods/detail/564603
M04197,배추잎,,,8,False,True,True,,,배추잎,완3,배추잎,양배추(상품/겉잎미제거/국산)1KG,1120,1KG,1.0,KG,1.5,https://www.foodspring.co.kr/goods/detail/781280
M04294,참나물,채소류,잎채소,8,False,False,False,,,참나물,완1,,참나물 국내산 100g,1360,100g,100.0,g,3.5,https://www.foodspring.co.kr/goods/detail/589683
M04444,멸치,,,8,False,False,False,,,멸치,완1,,멸치(국물용 100g/EA)/국내산,2048,100g,100.0,g,3.5,https://www.foodspring.co.kr/goods/detail/402708
M04460,채소국물,기타,물·음료,8,False,False,False,,,채소국물,완10,,칼노트 야채스톡 250g 채소육수 베지터블스톡 국물베이스 요리재료 가정용 비건요리 식자재,7368,250g,250.0,g,0.05,https://www.foodspring.co.kr/goods/detail/442946
